IP;MAC Address;Host Name;Phone DN;App Load ID;Boot Load ID;Version;Hardware Revision;Serial Number;Model Number;Message Waiting;UDI;1;2;3;4;Time;Time Zone;Date;System Free Memory;Java Heap Free Memory;Java Pool Free Memory
10.159.188.30;00270DBEDCEA;SEP00270DBEDCEA;8717;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;8.2;FCH13428WLN;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V08;FCH13428WLN;6:43:07p;Asia/Riyadh;20/09/15;10787664;1684308;556376
10.159.188.31;1CAA0710AE6F;SEP1CAA0710AE6F;8465;jar11sccp.9-0-2ES2.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-2SR1S;9.1;FCH15149H5X;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V09;FCH15149H5X;6:42:59p;Saudi Arabia Standard Time;20/09/15;12127104;1761608;133952
10.159.188.32;24B657459599;SEP24B657459599;7848;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;9.1;FCH1542AV0V;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V09;FCH1542AV0V;6:43:06p;Asia/Riyadh;20/09/15;10947408;1704988;601080
10.159.188.33;001BD512D6E5;SEP001BD512D6E5;7812;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-23.bin;SCCP11.9-0-3S;7.1;FCH11208B46;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V03;FCH11208B46;6:43:10p;Asia/Riyadh;20/09/15;10971984;1708216;603968
10.159.188.34;00270DBEDAFD;SEP00270DBEDAFD;8722;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;8.2;FCH13428W65;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V08;FCH13428W65;6:43:08p;Asia/Riyadh;20/09/15;10636112;1579288;525168
10.159.188.35;3037A61782F9;SEP3037A61782F9;8707;jar42sccp.9-0-3TH1-22.sbn;tnp62.8-3-1-21a.bin;SCCP42.9-0-3S;11.0;FCH140796L9;CP-7962G;No;phone;Cisco Unified IP Phone 7962G, Global;CP-7962G;V06;FCH140796L9;6:43:11p;Asia/Riyadh;20/09/15;7299744;2704832;461048
10.159.188.36;00269942AF70;SEP00269942AF70;8720;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;8.2;FCH13438SXG;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V08;FCH13438SXG;6:43:08p;Asia/Riyadh;20/09/15;10955600;1691760;601336
10.159.188.37;24B6574595C5;SEP24B6574595C5;8455;jar11sccp.9-0-2ES2.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-2SR1S;9.1;FCH1542AV25;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V09;FCH1542AV25;6:43:06p;Saudi Arabia Standard Time;20/09/15;12290944;1705008;148048
10.159.188.38;00270DBF9492;SEP00270DBF9492;8351;jar42sccp.9-0-2ES2.sbn;tnp42.8-3-1-21a.bin;SCCP42.9-0-2SR1S;11.0;FCH1342A4BD;CP-7942G;No;phone;Cisco Unified IP Phone 7942G, Global;CP-7942G;V06;FCH1342A4BD;6:43:11p;Saudi Arabia Standard Time;20/09/15;8659616;2753416;187864
10.159.188.39;001BD512D58A;SEP001BD512D58A;7887;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-23.bin;SCCP11.9-0-3S;7.1;FCH11208ATZ;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V03;FCH11208ATZ;6:43:10p;Asia/Riyadh;20/09/15;10947408;1702980;599648
10.159.188.40;24B6574535D4;SEP24B6574535D4;7858;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;9.1;FCH1542A6VT;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V09;FCH1542A6VT;6:43:08p;Asia/Riyadh;20/09/15;10951504;1704720;601328
